",11.000,"$75,000 or more","54,991","+/-2,641","52,350","57,632"
"C20005",12.000,"Other:","133,911","+/-4,267","129,644","138,178"
"C20005",13.000,"No earnings","60,450","+/-2,964","57,486","63,414"
"C20005",14.000,"With earnings:","73,461","+/-3,717","69,744","77,178"
"C20005",15.000,"$1 to $9,999 or loss","24,213","+/-2,688","21,525","26,901"
"C20005",16.000,"$10,000 to $19,999","10,838","+/-1,989","8,849","12,827"
"C20005",17.000,"$20,000 to $29,999","9,727","+/-1,717","8,010","11,444"
"C20005",18.000,"$
