an",54,"Female householder","15.3","+/-1.2","7.0","+/-3.2"
"401","Mexican",55,"Living alone","12.5","+/-1.0","4.4","+/-2.5"
"401","Mexican",56,"Not living alone","2.8","+/-0.6","2.6","+/-1.9"
"401","Mexican",57,"Average household size","2.65","+/-0.03","4.00","+/-0.24"
"401","Mexican",58,"Average family size","3.23","+/-0.06","4.24","+/-0.27"
"401","Mexican",59,"Population 15 years and over","637,673","+/-5,662","82,654","+/-4,072"
"401","Mexican",60,"Now married, except separated","51.4","+/-1.2","51.8","+
