,68,  ,3499,  ,468,  ,44,  ,23007,  
2003 Total                              ,24119,  ,19974,  ,876,  ,19099,  ,68,  ,3264,  ,-197,  ,43,  ,22277,  
2004 Total                              ,23970,  ,19517,  ,927,  ,18591,  ,60,  ,3404,  ,-114,  ,448,  ,22389,  
2005,,,,,,,,,,,,,,,,,,
January                               ,2035,  ,1633,  ,76,  ,1557,  ,4,  ,314,  ,728,  ,-42,  ,2561,  
February                              ,1871,  ,1498,  ,69,  ,1429,  ,5,  ,267,  ,438,  ,103,  ,2243,  
March          
