fishing, and forestry occupations","0","+/-283","0","283"
"B24010D",58.000,"Construction, extraction, maintenance, and repair occupations:","295","+/-367","0","662"
"B24010D",59.000,"Construction and extraction occupations","201","+/-327","0","528"
"B24010D",60.000,"Installation, maintenance, and repair occupations","94","+/-157","0","251"
"B24010D",61.000,"Production, transportation, and material moving occupations:","2,880","+/-860","2,020","3,740"
"B24010D",62.000,"Production occupations","1,850","+/-622
