000,"Less than $10,000","1,731","+/-678","1,053","2,409"
"B19101B",3.000,"$10,000 to $14,999","326","+/-254","72","580"
"B19101B",4.000,"$15,000 to $19,999","641","+/-399","242","1,040"
"B19101B",5.000,"$20,000 to $24,999","625","+/-425","200","1,050"
"B19101B",6.000,"$25,000 to $29,999","471","+/-415","56","886"
"B19101B",7.000,"$30,000 to $34,999","364","+/-458","0","822"
"B19101B",8.000,"$35,000 to $39,999","51","+/-74","0","125"
"B19101B",9.000,"$40,000 to $44,999","185","+/-155","30","340"
"B19101B",10
