2/29/02||PST|5|F|Y|Simi Valley|CA|34.2780|-118.6850|OZONE||Good|No|
12/27/02|12/27/02||EST|0|F|Y|South Bend|IN|41.6940|-86.2370|OZONE|50|Good|No|
12/27/02|12/28/02||EST|1|F|Y|South Bend|IN|41.6940|-86.2370|OZONE|50|Good|No|
12/27/02|12/27/02||CST|0|F|Y|Springfield|IL|39.8440|-89.6050|PM2.5||Moderate|No|
12/27/02|12/28/02||CST|1|F|Y|Springfield|IL|39.8440|-89.6050|PM2.5||Moderate|No|
12/27/02|12/29/02||CST|2|F|Y|Springfield|IL|39.8440|-89.6050|PM2.5||Moderate|No|
12/27/02|12/30/02||CST|3|F|Y|Springfield|IL|3
