3F",.,"SEX BY AGE BY NATIVITY (SOME OTHER RACE ALONE)",,,,
"C05003F",.,"Universe:  Some other race alone population",,,,
"C05003F",1.000,"Total:","11,202","+/-3,274","7,928","14,476"
"C05003F",2.000,"Male:","5,578","+/-1,812","3,766","7,390"
"C05003F",3.000,"Under 18 years:","2,163","+/-934","1,229","3,097"
"C05003F",4.000,"Native","1,841","+/-914","927","2,755"
"C05003F",5.000,"Foreign born","322","+/-320","2","642"
"C05003F",6.000,"18 years and over:","3,415","+/-1,289","2,126","4,704"
"C05003F",7.000,"Na
