23",.,"MENTAL DISABILITY BY SEX BY AGE BY EMPLOYMENT STATUS FOR THE CIVILIAN NONINSTITUTIONALIZED POPULATION 16 TO 64 YEARS",,,,
"B18023",.,"Universe:  Civilian noninstitutionalized population 16 to 64 years",,,,
"B18023",1.000,"Total:","74,963","+/-4,850","70,113","79,813"
"B18023",2.000,"With a mental disability:","4,211","+/-1,018","3,193","5,229"
"B18023",3.000,"Male:","1,884","+/-746","1,138","2,630"
"B18023",4.000,"16 to 34 years:","1,125","+/-631","494","1,756"
"B18023",5.000,"Employed","53","+/-89",
