DP02",134.0,"Italian","23.7%","0.7","24.7%","0.7",
"DP02",135.0,"Lithuanian","0.6%","0.1","0.5%","0.1",
"DP02",136.0,"Norwegian","0.8%","0.2","1.0%","0.2",
"DP02",137.0,"Polish","7.7%","0.5","7.3%","0.4",
"DP02",138.0,"Portuguese","1.0%","0.2","0.4%","0.1","*"
"DP02",139.0,"Russian","3.7%","0.3","3.0%","0.2","*"
"DP02",140.0,"Scotch-Irish","1.2%","0.2","1.1%","0.1",
"DP02",141.0,"Scottish","1.7%","0.1","2.0%","0.2",
"DP02",142.0,"Slovak","0.6%","0.1","0.7%","0.1",
"DP02",143.0,"Subsaharan African","0.3%","0
