uction, transportation, and material moving occupations:","30,714","+/-2,791","27,923","33,505"
"C24060",29.000,"Production occupations","12,745","+/-1,980","10,765","14,725"
"C24060",30.000,"Transportation and material moving occupations","17,969","+/-2,332","15,637","20,301"
"C24060",31.000,"Employee of private company workers:","152,593","+/-5,406","147,187","157,999"
"C24060",32.000,"Management, professional, and related occupations:","27,301","+/-2,750","24,551","30,051"
"C24060",33.000,"Management, bu
