on, maintenance, and repair occupations","863","+/-387","476","1,250"
"C24010D",8.000,"Production, transportation, and material moving occupations","735","+/-355","380","1,090"
"C24010D",9.000,"Female:","6,452","+/-1,046","5,406","7,498"
"C24010D",10.000,"Management, professional, and related occupations","3,343","+/-811","2,532","4,154"
"C24010D",11.000,"Service occupations","1,244","+/-482","762","1,726"
"C24010D",12.000,"Sales and office occupations","1,210","+/-470","740","1,680"
"C24010D",13.000,"Farmi
