0,"$75,000 or more","464","+/-329","135","793"
"C21001A",.,"SEX BY AGE BY VETERAN STATUS FOR THE CIVILIAN POPULATION 18 YEARS AND OVER (WHITE ALONE)",,,,
"C21001A",.,"Universe: White alone civilian population 18 years and over",,,,
"C21001A",1.000,"Total:","341,119","+/-4,643","336,476","345,762"
"C21001A",2.000,"Male:","169,304","+/-2,839","166,465","172,143"
"C21001A",3.000,"18 to 64 years:","140,844","+/-2,786","138,058","143,630"
"C21001A",4.000,"Veteran","13,634","+/-1,533","12,101","15,167"
"C21001A",
