ERY FRUIT/VINE/NUT NON-BEARING ,111 ,Ventura ,  ,  ,  ,  ,  ,10166000
2007 ,824999 ,NURSERY FRUIT/VINE/NUT NON-BEARING ,113 ,Yolo ,  ,  ,  ,  ,  ,5536700
2007 ,824999 ,NURSERY FRUIT/VINE/NUT NON-BEARING ,991 ,Sum of Others ,137 ,  ,  ,  ,  ,3150800
2007 ,824999 ,NURSERY FRUIT/VINE/NUT NON-BEARING , 999, State Totals,137 ,  ,0 ,  ,    ,193983600
2007 ,866370 ,NURSERY GERANIUMS ,991 ,Sum of Others ,  ,  ,  ,  ,  ,1483500
2007 ,866370 ,NURSERY GERANIUMS , 999, State Totals,0 ,  ,0 ,  ,    ,1483500
2007 ,
