oyed","51.9%","1.6","45.6%","1.5","*"
"DP03",5.0,"Unemployed","5.1%","1.0","5.2%","0.9",
"DP03",6.0,"Armed Forces","0.4%","0.3","0.2%","0.2",
"DP03",7.0,"Not in labor force","42.5%","1.4","49.0%","1.5","*"
"DP03",7.3,,,,,,
"DP03",8.0,"Civilian labor force","46,402","1,136","41,574","1,218","*"
"DP03",9.0,"Unemployed","8.9","**","10.3","**",
"DP03",9.3,,,,,,
"DP03",10.0,"Females 16 years and over","38,472","326","38,551","238",
"DP03",11.0,"In labor force","55.4%","2.3","49.5%","2.2","*"
"DP03",12.0,"Civilia
