00,"Computer specialists","30,280","+/-2,432","27,848","32,712"
"B24010",146.000,"Mathematical science occupations","4,693","+/-948","3,745","5,641"
"B24010",147.000,"Architecture and engineering occupations:","7,696","+/-1,129","6,567","8,825"
"B24010",148.000,"Architects, surveyors, and cartographers","981","+/-440","541","1,421"
"B24010",149.000,"Engineers","4,861","+/-938","3,923","5,799"
"B24010",150.000,"Drafters, engineering, and mapping technicians","1,854","+/-660","1,194","2,514"
"B24010",151.000,
