B07004D",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE (ASIAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES",,,,
"B07004D",.,"Universe:  Asian alone population 1 year and over in the United States",,,,
"B07004D",1.000,"Total:","277,142","+/-3,338","273,804","280,480"
"B07004D",2.000,"Same house 1 year ago","235,016","+/-4,604","230,412","239,620"
"B07004D",3.000,"Moved within same county","16,391","+/-3,051","13,340","19,442"
"B07004D",4.000,"Moved from different county within same state","9,718","+
