, and forestry occupations","5,364","+/-1,208","1.6","+/-0.4"
"DP03",31.0,"Construction, extraction, maintenance and repair occupations","33,340","+/-2,874","9.9","+/-0.9"
"DP03",32.0,"Production, transportation, and material moving occupations","45,886","+/-3,953","13.6","+/-1.1"
"DP03",32.3,,,,,
"DP03",32.5,"INDUSTRY",,,,
"DP03",33.0,"Civilian employed population 16 years and over","336,194","+/-5,793","100","(X)"
"DP03",34.0,"Agriculture, forestry, fishing and hunting, and mining","13,702","+/-2,701","4.
