 than $10,000","570","+/-359","1.6","+/-1.0"
"DP03",78.0,"$10,000 to $14,999","629","+/-388","1.7","+/-1.1"
"DP03",79.0,"$15,000 to $24,999","1,952","+/-742","5.4","+/-2.0"
"DP03",80.0,"$25,000 to $34,999","1,557","+/-659","4.3","+/-1.8"
"DP03",81.0,"$35,000 to $49,999","2,775","+/-919","7.7","+/-2.5"
"DP03",82.0,"$50,000 to $74,999","6,024","+/-1,347","16.7","+/-3.5"
"DP03",83.0,"$75,000 to $99,999","6,459","+/-1,286","17.9","+/-3.4"
"DP03",84.0,"$100,000 to $149,999","9,519","+/-1,363","26.4","+/-3.6"
"DP
