3",.,"TRAVEL TIME TO WORK",,,,
"B08303",.,"Universe:  Workers 16 years and over who did not work at home",,,,
"B08303",1.000,"Total:","337,115","+/-5,598","331,517","342,713"
"B08303",2.000,"Less than 5 minutes","6,448","+/-1,390","5,058","7,838"
"B08303",3.000,"5 to 9 minutes","35,137","+/-3,563","31,574","38,700"
"B08303",4.000,"10 to 14 minutes","49,393","+/-3,790","45,603","53,183"
"B08303",5.000,"15 to 19 minutes","54,674","+/-3,837","50,837","58,511"
"B08303",6.000,"20 to 24 minutes","48,176","+/-3,99
