000,"Nonfamily households","181,745","+/-7,387","174,358","189,132"
"C25116",.,"TENURE BY HOUSEHOLD SIZE BY AGE OF HOUSEHOLDER",,,,
"C25116",.,"Universe:  Occupied housing units",,,,
"C25116",1.000,"Total:","1,661,033","+/-7,953","1,653,080","1,668,986"
"C25116",2.000,"Owner occupied:","1,250,426","+/-10,485","1,239,941","1,260,911"
"C25116",3.000,"1-person household:","245,776","+/-6,478","239,298","252,254"
"C25116",4.000,"Householder 15 to 64 years","161,460","+/-5,505","155,955","166,965"
"C25116",5.000
