,"VACANCY STATUS",,,,
"B25004",.,"Universe:  Vacant housing units",,,,
"B25004",1.000,"Total:","5,281","+/-1,586","3,695","6,867"
"B25004",2.000,"For rent","1,620","+/-744","876","2,364"
"B25004",3.000,"Rented, not occupied","0","+/-292","0","292"
"B25004",4.000,"For sale only","1,582","+/-877","705","2,459"
"B25004",5.000,"Sold, not occupied","0","+/-292","0","292"
"B25004",6.000,"For seasonal, recreational, or occasional use","479","+/-436","43","915"
"B25004",7.000,"For migrant workers","0","+/-292","0",
