q2/,inq21997.tgz,926666.nc,19970405,27.2333,52.2167,2.00000,78.0000,20.8000,21.8000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,926667.nc,19970406,27.1000,52.3833,1.00000,79.0000,20.0000,21.8000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,926668.nc,19970406,27.2167,52.1833,2.00000,71.0000,20.7000,21.7000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz,926669.nc,19970406,27.2833,52.0667,2.00000,61.0000,20.7000,21.6000,,
woce-uot,./data/basins/sc/indian/1997/q2/,inq21997.tgz
