1199 ,EGGS CHICKEN MARKET ,31 ,Kings ,  ,  ,2967315 ,0.88 ,DOZ ,2611000
2007 ,651199 ,EGGS CHICKEN MARKET ,47 ,Merced ,  ,  ,161288340 ,0.77 ,DOZ ,124998000
2007 ,651199 ,EGGS CHICKEN MARKET ,65 ,Riverside ,  ,  ,110596190 ,0.82 ,DOZ ,90688900
2007 ,651199 ,EGGS CHICKEN MARKET ,73 ,San Diego ,  ,  ,64020833 ,0.88 ,DOZ ,56338300
2007 ,651199 ,EGGS CHICKEN MARKET ,99 ,Stanislaus ,  ,  ,39843000 ,1.21 ,DOZ ,48210000
2007 ,651199 ,EGGS CHICKEN MARKET ,991 ,Sum of Others ,  ,  ,7000 ,2.06 ,DOZ ,14400
2007 
