Spouse worked full-time, year-round in the past 12 months","1,916","+/-736","1,180","2,652"
"B23010",5.000,"Spouse worked less than full-time, year-round in the past 12 months","1,344","+/-528","816","1,872"
"B23010",6.000,"Spouse did not work in the past 12 months","811","+/-528","283","1,339"
"B23010",7.000,"Householder worked less than full-time, year-round in the past 12 months:","1,944","+/-695","1,249","2,639"
"B23010",8.000,"Spouse worked full-time, year-round in the past 12 months","813","+/-493","3
