r Latino",78,"Nursery school, preschool","5.5","+/-1.0","5.5","+/-1.1"
"451","White alone, not Hispanic or Latino",79,"Kindergarten","4.7","+/-0.8","4.6","+/-0.9"
"451","White alone, not Hispanic or Latino",80,"Elementary school (grades 1-8)","42.8","+/-1.9","43.6","+/-1.9"
"451","White alone, not Hispanic or Latino",81,"High school (grades 9-12)","23.1","+/-1.4","22.2","+/-1.1"
"451","White alone, not Hispanic or Latino",82,"College or graduate school","23.9","+/-1.7","24.1","+/-1.7"
"451","White alone, no
