llars)","27,465","650","30,143","532","*"
"DP03",93.5,"PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL",,,,,
"DP03",94.0,"Median earnings for male full-time, year-round workers (dollars)","37,066","791","40,601","724","*"
"DP03",95.0,"Median earnings for female full-time, year-round workers (dollars)","35,528","869","37,814","939","*"
"DP03",95.3,,,,,,
"DP03",96.0,"All families","11.6","**","9.7","**",
"DP03",97.0,"With related children under 18 years","18.3",
