","967,089","*****","167,052","+/-7,650"
"535","German (032-045)",2,"One race","96.8","+/-0.5","N","N"
"535","German (032-045)",3,"Two races","3.0","+/-0.4","N","N"
"535","German (032-045)",4,"Three races","0.2","+/-0.1","N","N"
"535","German (032-045)",5,"Four or more races","0.0","+/-0.1","N","N"
"535","German (032-045)",6,"Male","48.9","+/-0.1","48.9","+/-1.5"
"535","German (032-045)",7,"Female","51.1","+/-0.1","51.1","+/-1.5"
"535","German (032-045)",8,"Under 5 years","6.9","+/-0.1","5.4","+/-1.0"
"535"
