/-4.3"
"DP02",98.0,"Entered before 2000","4,120","+/-1,256","95.1","+/-4.3"
"DP02",98.3,,,,,
"DP02",99.0,"Foreign born","13,154","+/-3,000","100","(X)"
"DP02",100.0,"Entered 2000 or later","5,670","+/-1,762","43.1","+/-7.5"
"DP02",101.0,"Entered before 2000","7,484","+/-1,793","56.9","+/-7.5"
"DP02",101.3,,,,,
"DP02",101.5,"WORLD REGION OF BIRTH OF FOREIGN BORN",,,,
"DP02",102.0,"Foreign-born population, excluding population born at sea","N","N","100","(X)"
"DP02",103.0,"Europe","N","N","N","N"
"DP02",104.0
