","N","N","N",,,,,,
"S0801",25.0,"Not living in 12 selected states","N","N","N","N","N","N",,,,,,
"S0801",25.3,,,,,,,,,,,,,
"S0801",26.0,"Workers 16 years and over who did not work at home","39,755","+/-1,996","21,309","+/-1,344","18,446","+/-1,482",,,,,,
"S0801",26.5,"TIME LEAVING HOME TO GO TO WORK",,,,,,,,,,,,
"S0801",27.0,"12:00 a.m. to 4:59 a.m.","9.6","+/-3.7","14.2","+/-5.7","4.4","+/-2.9",,,,,,
"S0801",28.0,"5:00 a.m. to 5:29 a.m.","7.4","+/-2.5","9.7","+/-4.1","4.7","+/-2.7",,,,,,
"S0801",29.0,"5:3
