",3.000,"Less than $10,000","1,000","+/-515","485","1,515"
"C19037I",4.000,"$10,000 to $14,999","0","+/-303","0","303"
"C19037I",5.000,"$15,000 to $24,999","547","+/-341","206","888"
"C19037I",6.000,"$25,000 to $34,999","410","+/-278","132","688"
"C19037I",7.000,"$35,000 to $49,999","1,099","+/-475","624","1,574"
"C19037I",8.000,"$50,000 to $74,999","319","+/-276","43","595"
"C19037I",9.000,"$75,000 to $99,999","324","+/-255","69","579"
"C19037I",10.000,"$100,000 to $149,999","97","+/-161","0","258"
"C19037
