
"S1301",0.5,,,,"Women with births in the past 12 months",,,,,,,,,
"S1301",0.7,,"Total","Margin of Error","Number","Margin of Error","Rate per 1,000 women","Margin of Error","Percent of women who had a birth in the past 12 months who were unmarried","Margin of Error",,,,
"S1301",1.0,"Women 15 to 50 years","54,092","+/-4,773","1,673","+/-554","31","+/-11","41.8","+/-19.8",,,,
"S1301",2.0,"15 to 19 years","8,038","+/-1,654","91","+/-149","11","+/-19","100.0","+/-71.6",,,,
"S1301",3.0,"20 to 34 years","18,244"
