e per 100,000 state prisoners, by selected characteristics, 2001-2006 ",,,,,,,,
,,,"Mortality rate per 100,000 state prisoners",,,,,
,,"Average annual mortality rate per 100,000 state prisoners prisoners, 2001-2006",2001,2002,2003,2004,2005,2006
,Total,251,242,246,258,253,254,250
Gender,,,,,,,,
,Male,257,250,251,266,260,261,258
,Female,149,129,146,153,163,164,141
Race/Hispanic origin,,,,,,,,
,"White, non-Hispanic",347,327,324,366,352,364,353
,"Black, non-Hispanic",200,206,206,207,202,195,187
,Hisp
