,87.000,"Value $90,000 to $99,999","1,298","+/-500","798","1,798"
"B25121",88.000,"Value $100,000 to $199,999","8,823","+/-1,495","7,328","10,318"
"B25121",89.000,"Value $200,000 to $249,999","1,194","+/-408","786","1,602"
"B25121",90.000,"Value $250,000 to $499,999","1,521","+/-586","935","2,107"
"B25121",91.000,"Value $500,000 or more","219","+/-237","0","456"
"B25121",92.000,"$100,000 or more:","15,390","+/-1,701","13,689","17,091"
"B25121",93.000,"Value less than $10,000","0","+/-265","0","265"
"B25121"
