Central America:",179,"Sales and office occupations","25.6","+/-1.0","11.2","+/-2.2"
"716","Central America:",180,"Farming, fishing, and forestry occupations","0.3","+/-0.1","1.3","+/-0.9"
"716","Central America:",181,"Construction, extraction, maintenance, and repair occupations","10.7","+/-0.8","24.1","+/-3.9"
"716","Central America:",182,"Production, transportation, and material moving occupations","8.8","+/-0.9","14.9","+/-3.1"
"716","Central America:",183,"Male civilian employed population 16 years and
