    1","      50","Some other race","       147,155","   6.6%","       144,568","   6.3%","- 0.3%","+/-1.3%","no"
"        1","      51"," "," "," "," "," "," "," "," "
"        1","      51","HISPANIC ORIGIN AND RACE"," "," "," "," "," "," "," "
"        1","      51","     Total population","     2,243,712","   100%","     2,286,228","   100%","        42,516","*****","- -"
"        1","      52","Hispanic or Latino (of any race)","     1,333,462","  59.4%","     1,374,106","  60.1%","   0.7%","*****"
