to $22,499","9,615","+/-1,524","8,091","11,139"
"B20005H",38.000,"$22,500 to $24,999","4,131","+/-866","3,265","4,997"
"B20005H",39.000,"$25,000 to $29,999","11,444","+/-1,952","9,492","13,396"
"B20005H",40.000,"$30,000 to $34,999","11,287","+/-1,607","9,680","12,894"
"B20005H",41.000,"$35,000 to $39,999","8,113","+/-1,337","6,776","9,450"
"B20005H",42.000,"$40,000 to $44,999","9,425","+/-1,515","7,910","10,940"
"B20005H",43.000,"$45,000 to $49,999","5,235","+/-1,019","4,216","6,254"
"B20005H",44.000,"$50,0
