lone",219,"Mean Social Security income (dollars)","14,955","+/-321","15,399","+/-355"
"002","White alone",220,"With Supplemental Security Income","3.4","+/-0.4","3.1","+/-0.5"
"002","White alone",221,"Mean Supplemental Security Income (dollars)","7,742","+/-716","7,884","+/-773"
"002","White alone",222,"With cash public assistance income","2.4","+/-0.4","1.8","+/-0.4"
"002","White alone",223,"Mean cash public assistance income (dollars)","3,238","+/-638","3,349","+/-833"
"002","White alone",224,"With retire
