186","+/-687","5.2","+/-1.6"
"DP04",29.0,"3 rooms","4,275","+/-1,068","10.2","+/-2.4"
"DP04",30.0,"4 rooms","6,679","+/-1,452","16.0","+/-3.3"
"DP04",31.0,"5 rooms","8,060","+/-1,465","19.3","+/-3.3"
"DP04",32.0,"6 rooms","7,543","+/-1,245","18.1","+/-2.9"
"DP04",33.0,"7 rooms","6,523","+/-1,338","15.6","+/-3.2"
"DP04",34.0,"8 rooms","3,125","+/-895","7.5","+/-2.1"
"DP04",35.0,"9 rooms or more","2,821","+/-781","6.8","+/-1.9"
"DP04",36.0,"Median (rooms)","5.4","+/-0.2","(X)","(X)"
"DP04",36.3,,,,,
"DP04",36
