000,"18 to 24 years","2,182","+/-819","1,363","3,001"
"B17001I",11.000,"25 to 34 years","3,721","+/-1,223","2,498","4,944"
"B17001I",12.000,"35 to 44 years","2,412","+/-945","1,467","3,357"
"B17001I",13.000,"45 to 54 years","1,777","+/-810","967","2,587"
"B17001I",14.000,"55 to 64 years","545","+/-433","112","978"
"B17001I",15.000,"65 to 74 years","274","+/-277","0","551"
"B17001I",16.000,"75 years and over","49","+/-76","0","125"
"B17001I",17.000,"Female:","21,541","+/-3,394","18,147","24,935"
"B17001I",18
