,999","1,192","+/-483","709","1,675"
"B20005A",35.000,"$15,000 to $17,499","3,193","+/-826","2,367","4,019"
"B20005A",36.000,"$17,500 to $19,999","2,163","+/-712","1,451","2,875"
"B20005A",37.000,"$20,000 to $22,499","3,276","+/-972","2,304","4,248"
"B20005A",38.000,"$22,500 to $24,999","1,256","+/-525","731","1,781"
"B20005A",39.000,"$25,000 to $29,999","3,484","+/-1,145","2,339","4,629"
"B20005A",40.000,"$30,000 to $34,999","3,276","+/-925","2,351","4,201"
"B20005A",41.000,"$35,000 to $39,999","1,879","+/
