0
2007 ,478799 ,MANURE ,77 ,San Joaquin ,  ,  ,404000 ,1.00 ,TON ,406000
2007 ,478799 ,MANURE ,99 ,Stanislaus ,  ,  ,501000 ,2.36 ,TONS ,1182000
2007 ,478799 ,MANURE ,107 ,Tulare ,  ,  ,2552000 ,1.03 ,TON ,2632000
2007 ,478799 ,MANURE , 999, State Totals,0 ,  ,7493059 ,1.89 ,    ,14130000
2007 ,343999 ,MELONS CANTALOUPE ,19 ,Fresno ,20600 ,15.73 ,324000 ,302.00 ,TON ,97848000
2007 ,343999 ,MELONS CANTALOUPE ,25 ,Imperial ,7138 ,14.42 ,102923 ,352.02 ,TONS ,36231000
2007 ,343999 ,MELONS CANTALOUPE ,29
