ion, maintenance, and repair occupations","19.5","+/-1.4","15.5","+/-1.7"
"450","Not Hispanic or Latino",189,"Production, transportation, and material moving occupations","13.0","+/-1.2","10.7","+/-1.3"
"450","Not Hispanic or Latino",190,"Female civilian employed population 16 years and over","197,909","+/-4,915","140,208","+/-3,715"
"450","Not Hispanic or Latino",191,"Management, professional, and related occupations","38.4","+/-1.9","43.2","+/-2.3"
"450","Not Hispanic or Latino",192,"Service occupations",
