45)",209,"Public administration","6.1","+/-0.7","6.9","+/-1.6"
"535","German (032-045)",210,"Private wage and salary workers","78.2","+/-1.2","72.3","+/-3.3"
"535","German (032-045)",211,"Government workers","15.8","+/-1.1","21.2","+/-3.2"
"535","German (032-045)",212,"Self-employed workers in own not incorporated business","5.8","+/-0.7","6.3","+/-1.5"
"535","German (032-045)",213,"Unpaid family workers","0.2","+/-0.1","0.2","+/-0.3"
"535","German (032-045)",214,"Households","295,789","+/-3,993","61,541","
