
"C19001C",11.000,"$200,000 or more","N","N","N","N"
"C19001D",.,"HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2007 INFLATION-ADJUSTED DOLLARS) (ASIAN ALONE HOUSEHOLDER)",,,,
"C19001D",.,"Universe:  Households with a householder who is Asian alone",,,,
"C19001D",1.000,"Total:","9,840","+/-1,113","8,727","10,953"
"C19001D",2.000,"Less than $10,000","446","+/-308","138","754"
"C19001D",3.000,"$10,000 to $14,999","106","+/-125","0","231"
"C19001D",4.000,"$15,000 to $24,999","960","+/-550","410","1,510"
"C19001D"
