 than $10,000:","9,592","+/-1,711","7,881","11,303"
"C25074",3.000,"Less than 30.0 percent","557","+/-426","131","983"
"C25074",4.000,"30.0 percent or more","6,959","+/-1,442","5,517","8,401"
"C25074",5.000,"Not computed","2,076","+/-792","1,284","2,868"
"C25074",6.000,"$10,000 to $19,999:","13,680","+/-2,082","11,598","15,762"
"C25074",7.000,"Less than 30.0 percent","1,068","+/-771","297","1,839"
"C25074",8.000,"30.0 percent or more","11,985","+/-1,865","10,120","13,850"
"C25074",9.000,"Not computed","627"
