      23.6"
"50000US5000","4","  1","       302,106","         *****","         *****"
"50000US5000","4","  2","       196,044","       192,521","       199,567"
"50000US5000","4","  3","         9,211","         7,980","        10,442"
"50000US5000","4","  4","        22,512","        20,340","        24,684"
"50000US5000","4","  5","        20,563","        18,549","        22,577"
"50000US5000","4","  6","        18,536","        16,530","        20,542"
"50000US5000","4","  7","         4,743"," 
