population",56,"Not living alone",,,"2.1","+/-0.5"
"001","Total population",57,"Average household size",,,"2.40","+/-0.03"
"001","Total population",58,"Average family size",,,"2.90","+/-0.05"
"001","Total population",59,"Population 15 years and over",,,"550,892","+/-4,192"
"001","Total population",60,"Now married, except separated",,,"52.7","+/-1.6"
"001","Total population",61,"Widowed",,,"7.8","+/-0.5"
"001","Total population",62,"Divorced",,,"14.2","+/-0.9"
"001","Total population",63,"Separated",,,"2.4",
