n born",214,"Households","374,739","+/-4,285","55,765","+/-3,272"
"601","Foreign born",215,"Median household income (dollars)","43,546","+/-1,492","32,001","+/-2,281"
"601","Foreign born",216,"With earnings","75.9","+/-0.8","81.9","+/-2.4"
"601","Foreign born",217,"Mean earnings (dollars)","58,111","+/-1,387","48,577","+/-3,888"
"601","Foreign born",218,"With Social Security income","31.0","+/-0.7","22.3","+/-2.3"
"601","Foreign born",219,"Mean Social Security income (dollars)","14,955","+/-321","13,185","+
