, no degree","N","N","N","N"
"B15002E",15.000,"Associate's degree","N","N","N","N"
"B15002E",16.000,"Bachelor's degree","N","N","N","N"
"B15002E",17.000,"Graduate degree","N","N","N","N"
"B15002F",.,"SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER (SOME OTHER RACE ALONE)",,,,
"B15002F",.,"Universe:  Some other race alone population 25 years and over",,,,
"B15002F",1.000,"Total:","34,584","+/-4,833","29,751","39,417"
"B15002F",2.000,"Male:","17,392","+/-3,235","14,157","20,627"
"B15002F",3
