34,068","33,333","32,747","32,614","33,227"
Chelan County,Washington,"67,050","66,832","66,748","66,616","66,616"
.Cashmere city,Washington,"2,936","2,943","2,964","2,965","2,965"
.Chelan city,Washington,"3,533","3,531","3,534","3,529","3,522"
.Entiat city,Washington,980,973,962,957,957
.Leavenworth city,Washington,"2,077","2,065","2,075","2,074","2,074"
.Wenatchee city,Washington,"28,268","28,278","28,340","28,308","27,856"
.Balance of Chelan County,Washington,"29,256","29,042","28,873","28,783","29,242"
C
