","Americas:",153,"Speak English less than ""very well""","9.0","+/-0.6","62.9","+/-3.0"
"686","Americas:",154,"Population 16 years and over","626,446","+/-6,009","65,256","+/-4,273"
"686","Americas:",155,"In labor force","66.1","+/-0.9","75.1","+/-3.3"
"686","Americas:",156,"Civilian labor force","65.5","+/-0.9","75.1","+/-3.3"
"686","Americas:",157,"Employed","61.5","+/-0.9","69.8","+/-3.7"
"686","Americas:",158,"Unemployed","4.0","+/-0.6","5.3","+/-2.0"
"686","Americas:",159,"Percent of civilian labor fo
