000,"Senegalese","0","+/-292","0","292"
"B04006",81.000,"Sierra Leonean","0","+/-292","0","292"
"B04006",82.000,"Somalian","0","+/-292","0","292"
"B04006",83.000,"South African","404","+/-539","0","943"
"B04006",84.000,"Sudanese","0","+/-292","0","292"
"B04006",85.000,"Ugandan","0","+/-292","0","292"
"B04006",86.000,"Zimbabwean","0","+/-292","0","292"
"B04006",87.000,"African","760","+/-546","214","1,306"
"B04006",88.000,"Other Subsaharan African","114","+/-138","0","252"
"B04006",89.000,"Swedish","10,717",
