0.7","4.5","+/-1.3","0.0","+/-10.7",,,,
"S0802",7.3,,,,,,,,,,,,,
"S0802",8.0,"Median age (years)","39.9","+/-0.6","41.1","+/-0.7","34.4","+/-1.5","39.4","+/-5.4",,,,
"S0802",8.3,,,,,,,,,,,,,
"S0802",8.5,"SEX",,,,,,,,,,,,
"S0802",9.0,"Male","51.9","+/-0.9","50.9","+/-1.1","55.6","+/-3.2","54.9","+/-29.6",,,,
"S0802",10.0,"Female","48.1","+/-0.9","49.1","+/-1.1","44.4","+/-3.2","45.1","+/-29.6",,,,
"S0802",10.3,,,,,,,,,,,,,
"S0802",10.5,"RACE AND HISPANIC OR LATINO ORIGIN",,,,,,,,,,,,
"S0802",11.0,"One race",
